peopleAhead,activeCounters,serviceType,timeOfDay,dayOfWeek,actualWaitMinutes
1,3,quick,12,2,0.0
15,2,quick,12,2,29.9
18,4,quick,14,3,11.8
15,2,quick,4,1,26.0
15,2,quick,10,6,27.3
5,1,specialist,23,3,72.7
8,3,specialist,17,3,51.1
8,3,quick,17,2,12.5
15,2,quick,13,4,26.1
5,4,specialist,3,0,21.4
12,3,general,23,3,30.7
17,3,specialist,2,6,83.2
2,3,general,8,2,2.1
6,4,general,21,2,11.8
9,3,quick,20,3,12.8
22,3,general,18,2,75.4
5,4,quick,15,2,6.3
6,1,quick,2,6,16.5
6,1,quick,19,5,18.7
18,3,quick,21,3,20.1
0,4,specialist,20,6,0.0
12,3,specialist,3,4,58.0
23,4,general,5,6,45.7
8,2,quick,15,1,11.1
22,2,general,11,5,113.7
6,3,quick,1,3,6.5
15,3,specialist,2,5,74.0
25,3,specialist,6,5,126.0
4,4,quick,3,4,5.9
26,1,quick,18,1,101.0
16,1,quick,10,6,61.7
9,1,general,8,4,73.7
7,3,general,2,2,17.4
2,1,specialist,12,6,41.0
20,2,quick,8,5,27.4
1,1,quick,1,1,1.3
29,1,quick,17,3,111.7
16,1,specialist,9,2,240.3
1,3,general,1,6,4.2
12,1,general,13,3,125.9
21,2,quick,7,1,26.6
9,2,specialist,11,4,86.2
13,3,specialist,8,3,62.6
28,1,specialist,4,3,422.8
28,1,specialist,18,1,546.2
17,3,general,20,5,47.0
0,1,quick,11,6,0.0
18,3,specialist,17,1,115.1
11,4,quick,2,0,9.3
24,3,quick,21,0,28.6
18,1,quick,12,3,70.7
24,1,specialist,7,3,361.7
4,1,specialist,14,2,59.2
16,3,general,1,2,41.6
0,2,quick,1,2,1.1
22,3,specialist,1,4,110.9
28,2,quick,9,6,38.5
27,1,general,22,2,215.5
5,3,quick,0,6,4.6
21,2,specialist,15,3,154.9
23,3,general,5,1,60.1
28,2,general,2,3,111.0
7,1,quick,11,5,27.9
9,3,quick,3,3,9.0
25,2,specialist,20,1,184.7
13,1,specialist,10,1,250.3
15,3,quick,8,3,13.7
20,3,specialist,15,1,99.9
24,2,specialist,12,2,233.8
8,2,general,3,2,35.5
21,4,specialist,4,3,82.6
28,1,general,3,4,220.4
9,3,specialist,9,4,45.7
5,2,specialist,16,4,49.7
18,3,quick,14,0,20.2
23,4,specialist,3,2,86.2
13,3,specialist,3,5,68.8
24,2,quick,20,2,34.7
18,3,quick,6,5,12.8
0,3,specialist,2,4,1.0
24,4,quick,22,6,19.1
10,3,specialist,0,0,56.0
25,1,quick,16,4,96.6
4,2,specialist,5,0,33.9
23,1,specialist,15,4,344.1
0,3,quick,5,2,0.0
0,4,general,13,0,1.2
19,2,quick,1,6,29.1
14,2,specialist,15,2,106.0
28,2,general,9,4,111.4
14,3,quick,9,2,15.5
23,3,specialist,5,3,117.8
4,2,general,20,2,15.5
2,2,specialist,3,5,17.0
14,2,specialist,12,5,138.9
4,1,general,2,4,31.8
3,4,quick,17,1,2.0
6,4,general,15,0,16.3
18,4,specialist,11,6,88.7
19,4,quick,9,6,17.0
28,3,specialist,13,2,181.8
9,4,specialist,8,3,28.3
12,2,general,12,0,72.4
5,3,general,6,2,15.6
20,4,general,9,4,40.6
27,4,specialist,19,1,101.3
21,4,specialist,2,4,76.9
6,1,specialist,17,0,138.4
0,4,specialist,14,4,0.0
15,3,specialist,5,2,75.6
25,1,specialist,17,1,482.2
22,4,specialist,2,1,81.1
19,3,specialist,11,6,123.1
4,2,quick,23,0,6.7
20,2,specialist,5,4,152.2
3,1,general,9,1,24.0
10,2,specialist,20,0,87.7
20,2,general,15,6,81.2
15,2,specialist,11,4,147.0
16,2,quick,19,0,26.4
5,1,quick,8,4,13.0
19,4,quick,23,0,18.3
21,3,general,16,5,75.4
29,4,quick,0,4,23.4
26,3,specialist,1,1,134.6
12,2,quick,6,2,19.0
12,4,general,21,3,22.0
6,2,general,11,2,29.8
26,4,quick,3,5,20.6
20,1,general,23,6,161.7
19,1,general,13,6,196.7
17,1,specialist,6,4,250.2
14,4,general,3,2,28.4
25,4,quick,22,2,21.8
27,2,quick,4,3,41.3
25,3,specialist,14,5,123.6
21,1,general,12,0,250.5
23,4,quick,20,0,17.2
29,3,quick,19,6,28.3
27,1,quick,20,4,78.5
7,2,specialist,0,5,51.9
14,3,specialist,0,1,70.7
23,4,quick,12,0,24.4
7,4,quick,2,0,7.7
26,2,general,21,6,106.2
26,3,general,20,6,70.2
15,2,quick,0,3,22.7
29,1,general,7,2,232.5
21,1,general,6,6,166.7
23,1,general,12,3,239.5
13,1,general,6,4,104.6
28,4,specialist,11,3,136.3
3,2,general,0,3,9.8
8,1,general,0,6,64.3
28,2,quick,21,1,44.1
20,1,quick,5,4,60.6
10,2,general,20,2,39.8
11,1,quick,9,6,32.8
29,4,general,12,2,77.0
6,2,quick,20,4,8.2
20,3,general,3,4,53.4
2,1,general,6,6,18.9
28,4,general,9,6,56.6
1,4,specialist,3,4,4.2
10,4,general,5,5,22.0
19,4,quick,3,5,15.1
12,1,general,11,6,125.6
13,3,quick,16,4,16.9
28,3,specialist,3,2,140.3
8,3,general,20,3,23.0
9,1,quick,10,6,35.8
8,3,general,4,2,21.2
13,2,specialist,3,6,98.7
10,2,quick,17,4,21.9
17,2,general,19,3,65.4
16,4,quick,2,0,13.1
14,1,specialist,8,0,242.1
2,4,quick,2,2,2.8
4,3,general,12,2,16.9
0,2,general,8,0,0.0
7,2,quick,22,5,14.1
8,3,general,21,6,18.9
20,1,general,14,6,159.9
29,3,general,1,1,77.8
28,1,specialist,14,5,419.9
2,1,general,10,3,17.8
14,2,specialist,6,2,106.4
5,1,specialist,21,4,71.8
26,2,quick,2,2,37.6
26,2,quick,10,6,48.2
1,1,general,8,0,5.5
27,1,general,15,6,219.5
1,2,quick,11,3,0.0
25,3,specialist,3,3,121.1
7,3,quick,20,3,4.0
28,2,specialist,9,2,208.9
9,2,specialist,18,3,86.3
2,2,quick,3,6,2.7
27,1,specialist,18,3,525.6
12,4,quick,4,6,8.0
27,2,quick,16,5,53.6
22,2,quick,3,5,31.7
1,4,specialist,7,0,3.2
25,1,quick,9,5,75.2
9,1,quick,16,3,36.1
21,1,specialist,5,0,363.0
7,3,quick,21,5,7.5
1,4,general,1,3,0.3
11,1,specialist,18,6,218.2
16,4,general,4,0,39.1
18,4,general,11,3,48.9
23,4,general,16,3,58.0
7,4,quick,7,1,9.0
1,4,general,6,5,5.4
1,3,quick,13,5,4.4
24,4,general,18,3,59.9
26,4,specialist,16,5,127.6
5,4,specialist,9,2,16.6
29,1,quick,14,5,85.7
21,3,quick,19,1,21.5
26,3,quick,20,6,22.6
22,4,specialist,21,3,80.5
13,4,general,8,5,28.5
19,4,quick,9,5,16.4
9,1,quick,14,6,24.4
25,4,quick,20,2,19.6
0,2,specialist,19,6,0.0
5,4,specialist,18,3,24.9
13,2,specialist,7,3,97.5
15,4,general,8,1,29.1
0,4,quick,13,5,0.0
14,1,general,11,3,147.6
21,4,quick,6,4,12.0
5,2,specialist,15,6,39.5
18,1,general,5,0,162.9
12,2,quick,5,5,18.0
16,1,general,7,5,126.8
3,2,general,19,4,13.0
17,2,specialist,4,2,126.8
16,1,specialist,20,1,239.0
13,2,general,23,3,51.9
27,3,quick,4,2,26.8
27,2,quick,7,5,38.6
7,1,specialist,10,5,140.4
12,3,quick,17,2,17.3
10,3,quick,17,4,10.7
12,3,quick,9,6,12.4
24,2,specialist,16,4,234.0
11,2,specialist,23,5,82.4
3,4,general,14,3,3.7
8,3,quick,19,0,8.4
22,1,specialist,0,6,328.2
18,2,specialist,3,3,134.1
7,1,quick,13,5,24.6
7,4,specialist,5,1,25.6
11,1,specialist,16,0,250.8
24,4,general,4,0,51.9
22,2,specialist,10,0,248.9
3,1,specialist,10,3,59.1
5,3,quick,1,5,8.2
11,2,general,7,0,53.0
2,1,quick,3,3,8.0
4,2,general,22,2,14.8
19,2,quick,12,3,35.6
5,3,quick,23,1,1.9
21,2,general,3,1,84.7
26,3,quick,21,3,28.1
24,1,general,10,1,250.9
10,2,general,22,5,41.2
14,1,quick,16,3,53.8
27,4,general,8,3,53.6
27,4,specialist,12,6,133.4
11,4,specialist,10,6,52.0
17,4,quick,13,2,10.6
22,4,general,18,4,59.0
12,1,quick,11,4,50.3
16,2,general,14,1,64.4
4,3,general,19,0,8.9
0,3,specialist,16,0,1.2
5,3,general,12,5,17.5
22,4,quick,18,2,20.9
1,1,quick,9,2,1.0
17,3,quick,15,4,17.3
28,1,specialist,21,2,423.5
11,1,specialist,16,5,213.8
20,4,specialist,0,5,74.0
3,4,specialist,20,5,11.2
22,4,specialist,1,1,83.5
6,3,quick,13,6,7.5
15,4,quick,20,6,4.8
14,4,specialist,21,4,53.3
16,2,quick,8,6,23.1
15,2,specialist,18,6,149.3
24,1,quick,14,6,74.0
14,1,general,17,2,147.3
12,1,specialist,12,4,234.7
20,2,quick,20,3,30.8
24,1,specialist,9,6,361.7
23,2,quick,21,3,34.3
22,2,specialist,2,6,164.2
4,2,general,12,0,22.5
17,3,general,12,3,63.9
15,3,quick,15,0,20.7
7,3,specialist,11,2,42.3
0,1,general,16,6,0.7
15,2,specialist,12,2,149.4
27,1,general,16,3,282.3
13,2,quick,13,3,28.0
17,3,quick,17,4,22.9
17,2,specialist,9,4,128.4
1,1,quick,8,4,0.8
11,2,specialist,6,0,97.1
9,1,general,11,2,94.5
27,1,quick,4,0,94.8
7,2,specialist,13,2,67.9
16,2,general,2,4,59.8
13,3,general,20,3,35.6
10,2,general,23,3,42.7
7,4,general,14,2,17.3
8,1,general,15,2,62.1
29,1,general,23,1,231.6
12,1,quick,12,4,51.8
11,4,specialist,5,2,38.5
0,2,specialist,19,2,2.0
16,3,specialist,23,5,79.5
29,3,general,13,1,100.1
0,1,specialist,4,1,1.3
10,4,general,2,2,20.9
11,1,quick,5,5,29.0
0,4,specialist,9,2,1.7
10,4,quick,18,2,8.6
24,1,specialist,11,2,465.9
23,2,quick,15,2,34.4
10,4,quick,7,5,5.8
14,3,specialist,12,5,90.3
27,2,specialist,20,5,201.3
22,4,specialist,7,3,80.9
14,1,quick,14,3,43.2
7,1,specialist,18,2,137.9
14,1,specialist,19,6,206.2
4,4,general,18,2,8.9
7,2,general,13,1,40.6
8,4,quick,13,4,8.4
15,2,general,14,3,61.3
3,1,specialist,15,1,44.8
23,4,general,13,3,57.0
17,3,general,12,5,58.0
24,2,general,20,6,95.9
0,4,quick,15,3,0.0
7,3,general,20,2,18.6
3,3,specialist,16,6,22.7
24,1,general,5,2,192.4
7,1,quick,23,6,22.7
17,4,quick,12,2,16.5
21,3,general,17,2,77.6
6,3,general,15,5,13.7
24,1,general,10,2,246.6
27,4,general,4,4,58.0
15,2,general,8,2,59.1
20,1,quick,3,0,66.0
0,3,quick,7,6,0.0
27,1,specialist,20,1,402.5
6,3,specialist,16,1,39.7
23,4,quick,5,4,17.3
9,1,quick,1,5,23.3
7,3,quick,7,1,8.6
16,4,specialist,17,4,75.9
0,3,quick,8,6,0.0
9,1,quick,7,2,27.3
29,1,specialist,6,4,433.5
23,4,general,21,0,55.8
2,2,quick,15,2,4.0
29,2,general,9,0,129.9
20,4,specialist,16,4,95.9
9,1,specialist,19,0,155.6
2,1,quick,15,4,5.0
23,1,specialist,12,6,449.3
16,4,quick,1,6,10.6
10,3,general,17,3,34.8
15,1,general,10,5,158.1
1,2,specialist,21,5,5.6
19,2,quick,13,6,37.1
19,2,specialist,17,4,184.9
15,2,general,3,5,60.7
0,1,specialist,20,2,0.0
20,2,quick,17,1,35.0
29,1,specialist,3,0,496.4
28,1,quick,12,3,108.2
22,1,general,7,5,177.8
6,4,specialist,10,4,28.5
27,4,general,14,2,55.2
2,4,specialist,8,4,12.0
27,2,quick,4,4,40.6
5,3,quick,4,0,6.9
17,3,general,7,4,45.2
16,4,specialist,15,5,58.7
5,1,quick,13,1,15.0
10,3,quick,4,3,8.4
10,1,quick,16,0,45.0
21,1,specialist,15,1,311.8
20,2,quick,6,2,28.1
27,4,specialist,12,3,130.7
19,2,specialist,22,1,140.4
0,4,general,2,2,4.1
2,4,quick,8,6,0.0
6,4,general,18,3,14.7
21,3,specialist,4,6,100.8
18,4,specialist,9,3,69.1
9,1,specialist,4,4,137.7
20,2,specialist,9,4,147.0
25,1,specialist,11,1,488.5
14,3,specialist,3,0,78.8
15,4,specialist,0,6,55.8
14,2,specialist,21,1,103.6
20,3,specialist,2,0,113.2
27,2,general,17,1,139.7
1,2,specialist,23,4,5.1
5,1,specialist,15,1,73.5
23,2,specialist,20,5,169.7
3,1,quick,12,3,10.5
4,1,specialist,6,4,61.0
19,3,quick,17,3,26.0
22,4,general,12,4,55.6
4,1,quick,0,1,12.8
20,4,general,23,6,40.3
24,4,specialist,14,2,88.7
21,4,quick,18,5,23.3
18,4,general,3,4,37.0
9,3,specialist,10,4,60.2
12,2,quick,4,2,20.5
9,4,quick,23,0,8.6
1,2,specialist,11,6,11.9
4,1,general,6,4,33.3
15,2,quick,0,3,22.7
27,1,specialist,14,1,401.9
20,2,quick,2,1,32.0
13,1,quick,8,5,38.5
0,3,specialist,12,3,1.9
12,3,quick,5,4,13.4
23,4,quick,21,4,17.3
22,2,quick,6,3,30.7
13,1,general,16,3,135.6
2,3,specialist,17,5,15.6
13,3,general,23,0,37.3
18,3,specialist,20,1,92.3
14,4,quick,10,0,14.4
13,4,quick,13,5,14.0
28,4,general,13,1,72.1
17,1,general,5,1,135.1
3,3,general,5,4,8.4
17,2,specialist,12,4,164.4
25,1,general,7,5,201.3
11,4,specialist,5,3,37.3
29,4,quick,2,6,21.2
2,1,quick,10,4,10.2
11,4,specialist,7,5,42.1
12,2,quick,9,5,19.7
17,1,general,6,3,136.0
18,4,quick,3,5,11.5
8,4,specialist,0,0,36.0
8,3,quick,8,3,8.3
7,3,quick,1,2,9.6
10,1,quick,2,1,31.3
18,4,specialist,20,2,70.1
27,1,specialist,6,3,410.9
11,1,quick,3,0,37.8
3,1,general,17,3,30.1
24,1,general,7,0,221.0
19,2,specialist,12,0,209.7
4,1,specialist,0,3,61.4
3,4,specialist,8,5,11.0
24,4,specialist,13,0,135.9
10,2,specialist,12,3,99.2
7,2,general,3,5,27.5
24,4,general,22,6,47.0
14,4,quick,3,1,13.1
28,3,specialist,21,6,141.4
24,4,quick,17,1,24.8
4,1,quick,6,3,14.3
13,4,specialist,21,4,49.6
25,3,general,21,2,65.7
11,1,specialist,19,1,166.2
17,1,general,22,2,137.1
20,2,quick,8,5,31.4
1,2,quick,5,4,2.5
4,2,quick,12,6,7.9
29,2,general,5,3,118.4
4,2,quick,8,4,4.9
21,4,specialist,18,5,100.7
27,1,specialist,12,6,529.3
21,2,specialist,16,1,203.1
12,4,general,15,2,24.2
28,4,quick,15,6,21.3
27,3,specialist,23,1,136.6
8,4,general,8,1,17.3
13,3,general,3,0,40.2
24,2,general,5,2,93.7
23,4,specialist,19,5,85.9
11,2,specialist,1,5,85.8
12,4,general,14,1,24.6
14,2,general,2,3,58.0
11,4,general,8,6,22.7
22,3,specialist,22,3,110.1
12,4,quick,12,6,9.6
23,3,general,23,3,62.5
27,2,general,3,5,113.1
19,2,specialist,18,6,183.1
25,3,specialist,23,3,126.7
17,1,general,19,2,137.3
23,2,general,5,1,97.6
28,2,general,17,6,144.9
9,3,specialist,4,1,44.8
21,1,specialist,2,1,313.6
23,4,quick,22,2,14.0
15,2,quick,16,2,31.0
13,3,quick,14,5,13.3
5,1,general,9,6,38.5
24,4,general,16,5,62.1
4,2,quick,22,3,7.2
8,2,specialist,18,6,77.7
16,4,general,10,5,42.7
10,3,specialist,1,2,53.0
9,2,general,20,5,31.9
27,4,specialist,7,6,101.9
1,4,specialist,16,2,6.4
18,4,general,0,1,35.4
16,1,specialist,12,5,313.2
7,2,general,2,5,26.0
18,4,general,2,6,35.8
18,4,general,15,4,35.6
21,4,specialist,12,5,104.1
24,1,specialist,18,0,537.0
12,3,specialist,7,2,60.7
12,4,general,15,5,24.9
25,1,quick,18,4,98.0
21,4,specialist,5,5,78.9
0,3,specialist,6,2,0.0
14,4,specialist,9,0,62.3
16,2,specialist,13,5,157.5
16,2,specialist,19,2,117.3
9,1,general,13,3,95.7
3,1,quick,16,0,13.8
14,2,general,21,3,56.1
1,3,quick,8,2,0.0
24,3,quick,22,6,22.5
17,1,specialist,1,6,255.6
1,3,general,7,3,3.0
23,2,general,15,6,92.4
6,4,specialist,8,3,22.1
3,3,specialist,23,0,17.2
23,2,general,23,3,89.9
12,2,quick,23,6,19.6
27,4,general,19,5,53.9
3,4,specialist,23,0,10.3
7,4,general,5,3,13.8
15,2,general,15,3,57.9
17,3,quick,19,4,16.6
23,3,quick,15,5,22.6
1,1,general,1,5,6.0
5,1,quick,8,0,19.4
10,2,quick,17,6,19.0
15,3,specialist,7,1,70.3
2,4,quick,21,6,0.3
24,4,quick,14,3,18.7
19,4,general,3,1,36.1
20,1,general,10,3,206.6
2,3,quick,17,2,3.9
8,4,quick,9,4,7.7
19,1,quick,23,4,59.7
7,3,quick,16,5,6.6
9,3,general,17,6,31.2
7,1,quick,4,4,21.1
12,2,general,16,2,61.7
20,4,general,11,3,53.7
12,4,quick,2,5,8.2
26,1,quick,17,0,113.9
18,4,quick,11,2,15.9
4,2,specialist,8,3,29.6
27,2,general,11,1,141.4
29,4,general,1,6,60.2
6,1,quick,16,3,23.4
5,3,general,12,0,22.2
25,1,quick,9,2,74.0
25,4,general,8,2,48.9
15,4,general,0,5,30.2
25,1,specialist,14,6,374.7
21,2,quick,19,5,29.6
10,2,quick,10,6,21.8
3,3,specialist,20,2,12.6
14,3,general,21,5,39.1
12,3,specialist,18,3,76.1
8,2,specialist,11,3,79.2
0,1,specialist,7,3,0.0
16,1,quick,12,5,61.4
0,2,specialist,6,1,0.0
17,1,general,14,3,137.3
11,3,specialist,1,2,58.3
11,2,quick,17,5,23.3
25,1,specialist,8,5,374.2
7,2,general,1,5,24.5
13,3,general,22,3,40.7
21,2,general,2,4,82.4
2,3,quick,23,2,1.5
9,2,general,0,5,35.1
27,1,specialist,15,3,407.2
14,1,quick,0,5,42.5
3,1,quick,13,1,9.7
16,2,specialist,18,3,156.8
14,1,specialist,8,2,211.8
20,1,quick,15,5,61.3
20,1,quick,4,6,56.4
1,4,specialist,20,3,3.8
23,1,general,5,3,187.4
17,3,quick,16,1,23.3
14,1,specialist,7,6,206.9
0,1,quick,19,4,0.6
22,2,general,1,3,87.7
2,2,quick,3,2,2.7
5,2,specialist,20,0,39.6
6,3,general,19,2,15.1
23,4,specialist,21,5,90.6
3,3,quick,6,1,5.6
7,4,specialist,5,1,24.2
23,1,specialist,6,2,346.3
12,2,specialist,9,1,89.3
8,1,specialist,5,0,135.6
21,4,general,8,6,37.3
0,4,quick,22,6,4.0
29,3,specialist,23,0,164.7
16,2,quick,21,2,24.0
6,3,general,18,0,19.8
29,1,general,22,2,230.3
25,1,specialist,11,1,488.0
16,4,specialist,9,2,58.9
1,4,specialist,14,1,3.0
29,3,general,21,6,75.6
13,1,general,23,4,106.3
22,4,quick,20,6,15.6
0,3,general,8,6,0.8
5,4,general,4,0,13.3
3,2,quick,5,2,6.6
2,2,quick,20,5,1.6
27,1,general,20,5,216.3
19,2,specialist,7,6,144.4
17,3,general,16,0,66.5
5,4,general,22,4,9.0
20,3,specialist,2,6,98.2
12,3,quick,8,5,13.6
6,3,quick,22,2,1.6
27,1,quick,13,1,101.6
8,1,quick,5,5,25.6
14,3,general,19,0,39.8
1,2,specialist,13,2,7.9
23,3,general,23,5,63.2
11,1,specialist,19,6,165.8
16,2,quick,7,0,27.1
27,3,general,20,5,76.0
3,2,quick,6,5,2.0
26,1,general,8,5,211.5
25,2,specialist,19,3,184.7
12,1,specialist,8,5,179.8
28,3,specialist,14,1,142.1
4,1,quick,18,2,13.1
24,4,general,10,3,62.0
23,4,specialist,6,1,85.8
21,1,quick,6,1,60.1
14,3,specialist,23,5,70.3
19,2,general,15,4,75.9
10,3,quick,8,3,11.1
7,1,general,17,4,73.2
11,1,specialist,17,5,211.1
26,1,quick,17,2,101.9
19,4,general,14,3,40.3
25,1,quick,9,1,76.0
15,2,general,20,5,61.6
9,4,general,8,6,19.6
23,3,quick,6,0,24.4
10,3,general,16,3,33.9
7,3,quick,19,3,10.2
26,1,quick,5,0,87.8
29,2,general,16,5,150.0
27,4,general,12,1,69.6
20,1,specialist,13,6,390.3
25,4,quick,13,0,27.7
13,3,specialist,4,2,64.8
7,4,specialist,2,0,27.6
24,2,general,5,1,98.2
13,2,specialist,23,5,97.7
0,2,quick,17,5,1.2
26,2,specialist,19,1,194.5
0,3,quick,7,0,0.5
27,2,quick,8,4,41.2
23,4,general,18,4,59.0
4,1,quick,19,2,15.1
18,4,general,9,4,33.0
15,3,specialist,11,3,96.9
19,2,specialist,9,1,142.4
29,1,general,15,0,265.6
8,1,specialist,7,4,120.0
6,4,general,16,2,13.9
24,4,specialist,1,2,90.6
11,3,specialist,4,4,54.4
19,4,quick,14,4,15.3
1,2,general,11,1,6.9
9,2,quick,10,0,20.2
26,4,specialist,13,0,143.9
4,4,quick,8,4,5.6
0,2,quick,0,4,0.0
25,2,specialist,4,0,217.2
14,2,general,5,2,54.2
4,4,specialist,2,1,12.1
4,2,quick,2,2,7.3
19,4,quick,12,4,21.9
18,2,specialist,1,3,135.1
20,2,general,12,0,123.5
14,1,quick,13,6,51.9
14,1,specialist,15,5,208.5
14,1,quick,13,5,56.9
29,1,general,16,2,301.4
17,3,specialist,19,6,84.9
4,4,specialist,4,2,18.7
21,1,general,10,4,218.9
24,4,specialist,1,0,102.9
24,3,general,9,3,62.9
17,2,specialist,23,1,126.3
1,4,quick,16,6,0.4
5,3,quick,12,3,7.6
17,3,specialist,3,4,84.6
23,3,quick,11,2,28.4
25,2,general,1,4,99.1
17,2,general,8,0,80.3
23,3,quick,6,0,27.4
11,1,specialist,3,4,169.0
28,1,quick,7,4,81.7
11,4,quick,17,2,11.9
17,4,specialist,9,6,62.7
15,4,specialist,17,6,77.4
2,2,general,19,0,7.7
28,4,quick,2,2,19.3
27,2,quick,1,4,40.4
8,2,general,9,4,34.3
16,3,quick,22,1,17.4
29,4,quick,10,6,27.8
10,1,general,19,3,79.4
12,2,specialist,3,1,87.7
10,2,quick,4,3,15.5
16,3,quick,9,5,13.7
23,1,specialist,10,2,450.8
11,4,specialist,8,4,39.2
26,3,general,7,3,66.2
7,3,specialist,4,2,35.9
8,1,general,14,3,65.0
6,3,quick,14,4,7.3
16,4,specialist,18,0,86.3
10,2,quick,10,6,21.2
17,3,quick,2,5,17.4
14,1,general,21,1,107.5
29,3,quick,9,4,30.0
17,3,specialist,12,6,110.9
27,1,quick,3,3,80.8
11,3,general,5,6,31.8
12,3,quick,0,6,10.4
11,2,general,13,5,56.9
19,2,quick,5,2,27.4
24,1,general,1,6,191.3
7,3,general,0,5,20.2
25,4,general,4,1,51.6
7,3,specialist,3,0,41.3
5,4,quick,6,0,2.7
14,1,general,21,6,112.2
11,4,quick,16,4,6.5
13,2,quick,1,1,22.8
14,1,general,11,2,146.2
22,1,specialist,23,0,377.0
22,4,quick,1,2,11.4
11,1,general,12,6,114.2
19,4,quick,14,2,13.7
18,2,specialist,7,4,135.7
28,3,general,5,2,75.6
9,4,quick,10,2,8.9
2,4,quick,9,0,3.6
12,4,general,11,0,35.1
14,1,general,4,3,114.5
20,3,quick,20,3,20.6
13,2,general,0,3,53.6
23,2,specialist,0,5,172.2
25,3,general,1,1,67.8
22,2,specialist,22,1,164.6
16,4,specialist,4,6,59.4
21,3,specialist,8,3,106.2
18,2,quick,11,6,36.2
28,3,quick,4,2,28.3
9,4,specialist,11,2,42.4
16,3,specialist,21,5,79.9
22,4,specialist,14,0,91.9
9,2,quick,11,1,14.1
14,1,quick,21,4,44.5
3,1,specialist,18,6,59.3
21,2,quick,14,5,34.2
29,2,quick,8,1,42.7
5,4,general,7,0,10.6
4,3,quick,3,4,5.4
21,1,general,4,5,168.0
5,3,specialist,13,4,31.1
11,1,quick,15,5,34.4
22,1,specialist,1,6,329.5
2,3,general,17,5,6.7
22,2,general,17,1,114.1
28,2,specialist,12,2,274.6
16,3,quick,14,1,18.0
4,3,general,2,2,11.6
2,2,quick,10,5,3.9
12,3,general,18,3,40.8
20,1,general,5,2,157.4
8,3,specialist,16,2,49.4
29,3,general,16,6,96.7
18,2,quick,7,4,29.0
22,3,general,18,3,77.4
21,1,quick,12,5,78.9
25,1,specialist,6,6,376.5
28,1,quick,22,2,86.3
2,4,quick,2,6,2.4
6,2,specialist,7,1,43.4
21,4,specialist,17,6,102.9
17,3,specialist,7,4,84.7
8,1,quick,12,6,32.0
3,2,general,1,3,10.3
13,3,specialist,7,1,65.9
15,1,general,22,6,118.5
2,2,specialist,7,0,15.3
17,1,general,16,1,181.3
1,1,quick,4,0,2.3
13,2,quick,16,5,21.6
15,2,specialist,2,0,130.0
1,4,general,17,1,3.7
26,3,quick,17,6,37.4
26,1,quick,19,2,78.2
20,1,quick,11,5,81.1
14,4,specialist,16,3,69.6
22,4,quick,7,3,17.6
14,4,quick,9,1,13.5
2,3,quick,21,2,0.9
7,2,general,20,0,35.4
9,2,specialist,15,5,65.3
28,3,general,13,5,96.7
26,2,specialist,11,1,254.7
28,4,quick,20,0,27.0
1,3,general,3,5,5.0
14,3,specialist,22,3,73.2
28,4,specialist,2,6,102.7
3,3,specialist,8,5,15.3
6,1,quick,4,1,18.4
13,4,specialist,3,5,54.1
23,1,general,0,0,213.1
14,3,quick,11,4,21.7
26,2,general,9,0,122.1
3,1,quick,7,0,10.6
29,1,quick,3,4,88.0
24,1,quick,12,1,91.2
1,3,general,21,6,4.1
1,1,quick,21,2,2.4
23,2,quick,2,0,39.1
22,2,general,17,4,114.3
7,4,quick,8,4,2.7
0,1,specialist,11,1,2.8
16,2,quick,8,3,21.7
10,4,specialist,15,5,39.2
28,4,specialist,19,2,105.3
6,1,specialist,19,4,92.6
14,1,specialist,12,3,269.9
2,4,general,10,6,4.1
29,2,specialist,19,2,217.3
20,2,general,22,0,95.2
29,4,quick,9,0,24.8
16,1,specialist,21,4,238.8
3,3,quick,19,3,2.4
25,1,specialist,13,5,489.2
22,3,general,6,6,60.8
2,4,quick,19,5,2.1
22,1,quick,6,3,65.7
17,2,quick,12,6,34.5
7,2,general,17,1,37.4
19,2,general,16,3,95.7
28,2,specialist,7,4,212.1
23,4,specialist,6,3,85.6
25,2,quick,3,6,31.9
3,3,specialist,15,4,12.9
22,4,specialist,16,6,108.9
14,1,specialist,15,6,211.2
19,1,general,17,6,194.6
10,4,specialist,21,5,36.4
11,1,general,9,2,88.2
18,4,specialist,6,0,77.5
25,3,quick,2,5,26.3
25,4,specialist,13,2,122.3
4,3,specialist,6,6,22.8
7,4,specialist,3,2,28.6
7,2,general,20,4,30.7
29,1,quick,17,1,112.9
15,1,quick,5,6,44.2
3,1,quick,1,2,7.4
21,3,quick,8,4,21.4
2,1,specialist,4,5,30.4
21,4,specialist,23,6,79.1
6,2,quick,3,6,6.8
17,3,specialist,12,1,106.2
22,4,specialist,7,1,82.1
28,2,quick,5,0,49.2
7,4,general,16,0,22.5
13,3,specialist,7,6,64.0
27,1,quick,9,3,80.4
12,2,specialist,9,2,90.5
20,3,quick,16,1,27.8
20,4,general,14,3,42.2
13,1,general,18,2,133.0
0,3,general,12,0,0.0
7,2,quick,16,2,13.0
8,2,general,1,1,30.3
24,4,quick,5,1,19.9
25,4,general,6,5,51.1
6,3,specialist,19,0,31.2
10,3,general,18,3,34.8
9,2,quick,16,6,18.5
1,2,quick,22,6,4.2
3,2,quick,0,1,1.1
1,2,quick,16,3,0.0
20,2,general,22,1,79.2
25,4,general,4,3,51.6
